# province_id TAB category (1=малый, 2=средний, 3=мегаполис, 1830-1850)
# Сопоставление с history/provinces mod 5
# СИНХРОНИЗИРОВАНО: terrain = urban в history; life_rating min 35 (кат.2) / 40 (кат.3)
# terrain.bmp: индекс 56 = RGB (156,139,228) / text_56 urban (см. map/terrain_palette.txt)
# terrain.txt: categories.urban color = { 0 0 0 } (не трогать — иначе ломается colorspace)
# Бэкап карты: map/terrain.bmp.bak_* (перед перекраской)
# Последняя перекраска: 246 провинций terrain=urban, палитра index 56
# GFX: province_interface.gfx — один спрайт GFX_terrainimg_urban -> terrain_urban.tga
# town_infrastructure = категория (1/2/3) в history провинций-городов

31	1
46	2
56	2
57	1
58	2
65	2
71	1
84	1
89	1
103	1
137	1
139	2
146	2
163	2
173	1
182	2
189	1
204	1
205	1
211	1
219	3
220	2
223	3
227	1
232	3
236	1
243	2
263	3
269	2
271	2
273	1
277	2
278	2
282	2
283	1
284	2
288	1
296	2
299	1
300	3
313	2
322	2
354	2
372	2
375	2
376	1
387	2
390	2
399	1
409	1
415	1
423	1
425	3
451	2
455	1
458	2
467	2
487	2
498	2
503	1
506	1
509	1
518	1
521	2
528	2
530	1
539	1
549	3
558	2
559	2
564	2
575	2
589	1
595	1
599	2
603	1
604	1
607	1
619	3
625	2
641	2
658	1
664	2
690	1
702	1
703	1
706	3
720	2
724	1
726	2
729	2
744	1
749	2
754	3
762	1
783	1
794	2
801	1
805	2
806	1
809	1
834	2
860	3
869	2
897	2
902	2
913	2
917	2
923	1
926	2
932	1
958	2
967	1
968	2
978	1
994	3
1008	3
1030	1
1058	1
1102	1
1121	2
1127	2
1151	1
1152	1
1153	1
1166	1
1227	3
1236	3
1240	2
1242	3
1245	2
1247	2
1251	3
1252	1
1257	1
1283	3
1288	2
1296	2
1297	3
1299	2
1303	1
1304	3
1314	2
1318	1
1321	1
1323	1
1330	2
1346	2
1357	1
1364	1
1369	2
1375	1
1380	2
1384	2
1386	1
1388	2
1405	1
1412	1
1413	2
1418	1
1455	2
1465	1
1481	1
1482	2
1493	3
1496	2
1498	2
1522	2
1538	3
1539	2
1559	2
1578	2
1587	1
1594	1
1604	2
1608	2
1612	3
1649	3
1655	3
1657	3
1661	2
1680	2
1690	2
1700	2
1704	1
1723	1
1725	2
1731	2
1745	3
1751	3
1803	2
1852	1
1884	1
1887	1
1907	1
1910	2
1923	1
1945	2
1999	1
2029	1
2048	2
2049	1
2087	2
2111	2
2142	1
2162	1
2166	2
2172	3
2176	2
2177	1
2183	1
2209	3
2213	2
2214	2
2221	2
2237	2
2247	2
2252	1
2264	2
2279	2
2295	3
2302	1
2310	2
2314	2
2324	2
2325	2
2328	1
2334	1
2339	2
2344	2
2348	3
2432	2
2436	2
2447	3
2450	2
2454	1
2468	2
2469	1
2476	2
2482	2
2483	1
2491	1
2497	1
2509	2
2512	1
2565	1

# Всего провинций с городом: 246
# --- справка: id -> название провинции / город ---
# 31	1	Stanley	(Falkland (Stanley))
# 46	2	Toronto	(Toronto)
# 56	2	Kingston	(Kingston)
# 57	1	Ottawa	(Ottawa (Bytown))
# 58	2	Montreal	(Montreal)
# 65	2	Quebec City	(Quebec City)
# 71	1	Halifax	(Halifax)
# 84	1	San Francisco	(San Francisco)
# 89	1	Los Angeles	(Los Angeles)
# 103	1	Santa Fe	(Santa Fe)
# 137	1	San Antonio	(San Antonio)
# 139	2	New Orleans	(New Orleans)
# 146	2	St Louis	(St Louis)
# 163	2	Chicago	(Chicago)
# 173	1	Detroit	(Detroit)
# 182	2	Cincinnati	(Cincinnati)
# 189	1	Memphis	(Memphis)
# 204	1	Savannah	(Savannah)
# 205	1	Charleston	(Charleston)
# 211	1	Richmond	(Richmond)
# 219	3	Baltimore	(Baltimore)
# 220	2	Washington	(Washington)
# 223	3	Philadelphia	(Philadelphia)
# 227	1	Pittsburgh	(Pittsburgh)
# 232	3	New York	(New York)
