# Decisions / inventions title+desc;x;X;X;X;X;X
peking_convention_title;Пекинская конвенция;X;X;X;X;X;X
peking_convention_desc;С момента Нерчинского соглашения (1689), Российская империя признала реку Айгунь и горы естественными границами между Россией и Китаем. В середине XIX столетия русские перешли данные границы, чтобы захватить обширные земли между горами и Амуром. Позднее Западный альянс провел против Китая Вторую Опиумную войну, сжег летние дворцы китайского Императора, и вошел в Пекин. Хитрый генерал-майор по имени Николей Игнатьев был убежден, что только российская поддержка Китая заставит союзников покинуть Пекин. Ценой за эту поддержку было заключение Пекинской конвенции, подтверждающей присоединение к России территории между Рекой Уссури и Tихим океаном. Таким образом, Россия приобрела 350 000 квадратных миль территории, не совершив ни единого выстрела.;X;X;X;X;X;X
russian_vladivostok_title;Правитель Востока;X;X;X;X;X;X
russian_vladivostok_desc;В июле 1860 город Владивосток, или «Правитель Востока», был основан около корейской границы. Он стал главным российским торговым портом и верфью. В конечном счете он стал причиной строительства межконтинентальной железной дороги для связи с этим научным, культурным и крупным индустриальным центром. Царь мечтал, что город станет центром, соединяющим запад с востоком. Возможно, железная дорога во Владивосток в конечном счете заменит Суэцкий канал в качестве обменного пункта товаров и сырья между Востоком и Западом?;X;X;X;X;X;X
law_of_guarantees_title;Закон о Гарантиях;X;X;X;X;X;X
law_of_guarantees_desc;13 мая 1871 итальянской стороной в одностороннем порядке был принят «Закон о Гарантиях», ставивший своей целью разрешить «римский вопрос». Папа Римский получал привелегии, аналогичные королю Италии - содержание в размере трёх миллионов лир, право принимать и посылать послов, свободу проведения конклавов, свободу почтовой и телеграфной связи с другими государствами. И хотя папа Пий IX отказался принять закон, столицей молодого Итальянского королевства становился Рим, и уж с этим Папа ничего поделать не мог.;X;X;X;X;X;X
form_byzantine_empire_title;«Царь царей, Король королей»;X;X;X;X;X;X
form_byzantine_empire_desc;После гибели Османской империи, претензии турецких владык на римские имперские титулы стали лишь воспоминаниями. Константинополь, «желанный», снова стал греческим, после нескольких веков оккупации турецкими варварами. А это значит что мы, гордые потомки великих ромеев, можем провозгласить восстановление великого государства наших предков - Византийской Империи!;X;X;X;X;X;X
form_israel_title;Декларация Бальфура;X;X;X;X;X;X
form_israel_desc;«Правительство Его Величества с одобрением рассматривает вопрос о создании в Палестине национального очага для еврейского народа и приложит все усилия для содействия достижению этой цели...»\n\nТак как мы оказываем значительное влияние на Иудею и Левант, древнюю родину еврейского народа, мы можем выразить благоприятственное отношение к восстановлению там еврейского государства.;X;X;X;X;X;X
build_the_tower_of_babylon_title;Вавилонская Башня;X;X;X;X;X;X
build_the_tower_of_babylon_desc;За последние тысячелетия прогресс шагнул вперёд не так уж и далеко, а это значит, что мы всё ещё можем гордится великим проектом наших вавилонских предков. С учётом восхождения Ирака к статусу одной из лидирующих мировых держав, зазвучали голоса в поддержку этого строительства, как основы идеологии Нового Ирака. А с новыми технологиями кто знает, что у нас может получится??;X;X;X;X;X;X
raise_the_bonnie_blue_flag_title;«Заветный синий флаг!»;X;X;X;X;X;X
raise_the_bonnie_blue_flag_desc;«Hurrah! Hurrah!\nFor Southern rights, hurrah!\nHurrah for the Bonnie Blue Flag that bears a single star!»\n\n«Bonnie Blue Flag» или «Заветный синий флаг» был первым, неофициальным флагом Конфедеративных Штатов Америки. Он представлял из себя синее полотнище с белой пятиконечной звездой. Также, так называлась популярная походная песня, которую поэт Гарри Маккарти написал в честь этого флага. Поднимите «Заветный синий флаг» и следите за тем, как новобранцы пополняют ряды армии КША.;X;X;X;X;X;X
the_bonnie_blue_flag_desc;Белая пятиконечная звезда на синем фоне ведёт наши войска на бой с мерзкими янки.;X;X;X;X;X;X
webster_ashburton_treaty_title;Договор Уэбстера-Ашбертона;X;X;X;X;X;X
webster_ashburton_treaty_desc;В 1842 году, после Арукстукской войны, в Вашингтоне был подписан договор Уэбстера-Ашбертона. По этому договору граница между британскими колониями в Канаде и США устанавливалась по 49 параллели, урегулировал вопросы совместного использования британцами и американцами Великих Озёр и обязывал стороны запретить работорговлю на Атлантическом побережье Африки и строго следить за соблюдением этого запрета.;X;X;X;X;X;X
the_vega_expedition_title;Экспедиция парохода «Вега»;X;X;X;X;X;X
the_vega_expedition_desc;в 1878-80-ых годах Нильс Адольф Эрик Норденшельд, при финансовой поддержке короля Швеции и Норвегии Оскара II, впервые осуществил сквозное (с зимовкой в пути) плавание Северо-восточным проходом из Атлантического океана в Тихий и через Суэцкий канал вернулся в Швецию (1880), впервые обойдя таким образом всю Евразию. И хотя плавания через Северный морской путь предпринимались и раньше, но именно плавание Норденшельда считается первым полностью доказанным по этому пути. Оно очень широко отмечалось.;X;X;X;X;X;X
rhodesia_charter_title;Британская Южно-Африканская компания;X;X;X;X;X;X
rhodesia_charter_desc;Британская Южно-Африканская компания была основана британским магнатом-империалистом Сесилем Родсом в 1889. Компания была создана по образу и подобию Британской Вест-Индской Компании и была создана с целью содействия дальнейшей колонизации британцами Южной и Центральной Африки. Зона интересов Компании простиралась вдоль реки Замбези. Эта зона с 1895 стала известной как «Родезия» и была названа в честь Сесиля Родса.;X;X;X;X;X;X
kaiser_wilhelms_land_title;Земля Кайзера Вильгельма;X;X;X;X;X;X
kaiser_wilhelms_land_desc;«Землёй Кайзера Вильгельма» называлась сеть немецких колоний в Тихом Океане, включавшая в себя северо-восток острова Новая Гвинея, архипелаг Бисмарка и прочие, более мелкие немецкие колонии в данном регионе. В 1914 году эти территории оккупировали австралийские войска, а после окончания Первой Мировой войны земля Кайзера Вильгельма стала «территорией Новая Гвинея», которой управляло правительство Австралии.;X;X;X;X;X;X
megali_idea_title;Великая Идея;X;X;X;X;X;X
megali_idea_desc;Великая Идея - это ирридентистская концепция греков под игом Османской империи. Она подразумевала создание Великой Греции, которая должна была включать в себя всю Фракию, Константинополь, Додеканесские острова, Кипр и всё западное побережье Малой Азии. Концепция медленно шла к своей реализации весь XIX век, и была почти полностью реализована после Первой Мировой Войны, ведь по Севрскому мирнному договору к Греции отходили практически все эти территории. Но в войне за независимость Турции 1919-1922-ых годов, греки и армяне потерпели поражение, и по Лозаннскому миру должны были уступить почти все свои новые приобретения.;X;X;X;X;X;X
expand_motala_verkstad_title;Мутальский машиностроительный завод;X;X;X;X;X;X
expand_motala_verkstad_desc;«Motala Verkstad» (Мутальский машиностроительный завод) был основан Бальцаром фон Платеном в 1822 году, во время строительства Гёта-канала. Под руководством Отто Эдварда Карлсунда, в 40-60-ые годы XIX века, Мутальский завод стал одним из самых больших и известных предприятий Швеции. Завод упоминается в романе Жюля Верна «20000 льё под водой», как производитель тарана для субмарины «Наутилус».;X;X;X;X;X;X
court_yard_speech_title;Шведский конституционный кризис 1914 года;X;X;X;X;X;X
court_yard_speech_desc;Шведский конституционный кризис 1914 был спровоцирован резким сокращением оборонных расходов либеральным правительством Карла Стаафа. Шестого февраля 1914 года король Густав V обратился с речью поддержки и одобрения к тридцатитысячной толпе шведских крестьян, которые через всю страну маршировали в Стокгольм, чтобы поддержать своего короля, Родину и Вооружённые силы. Это было последнее вмешательство шведских королей в политическую жизнь страны..;X;X;X;X;X;X
italia_irredenta_title;Великая Италия;X;X;X;X;X;X
italia_irredenta_desc;Движение за объединение Италии стремилось к включанию в состав Италии всех прилегающих территорий иностранных государств, на которых проживало значительное итальянское меньшинство. Таким образом, итальянские территориальные претензии распространялись куда дальше захваченных Австрией по итогам Наполеоновских войн земель в Италии, и включали в себя значительные территории в Далмации и Австрии.;X;X;X;X;X;X
the_heligoland_question_title;Гельголандский Вопрос;X;X;X;X;X;X
the_heligoland_question_desc;Небольшой островок в Северном море под названием Гельголанд перешёл к Великобритании во время Наполеоновских войн, по Кильскому мирному соглашению 1814 года. После объединения Германии остров стал объектом территориальных претензий со стороны Германской империи, так как населён был преимущественно немцами.;X;X;X;X;X;X
miskatonic_university_title;Мискатоникский университет;X;X;X;X;X;X
miskatonic_university_desc;Мискатоникский университет находится в живописном городе Аркхем, на берегу мрачной реки Мискатоник, в прекрасном графстве Эссекс. Мискатоникский университет - одно из самых известных высших учебных учреждений Новой Англии. Он хорошо известен своей коллекцией редкостей, обширным собранием старинных и оккультных книг, своими спортивными соревнованиями, а среди прочего - отрывками легендарной Книги Эйбона и оригинальной рукописью «Безымянного культа» - образцового труда Фридриха фон Юнцта.;X;X;X;X;X;X
construct_the_walhalla_title;Вальхалла;X;X;X;X;X;X
construct_the_walhalla_desc;«Вальхалла» - это возвышающийся над Дунаем храм в стиле нео-классицизма, построенный в период с 1830 по 1842 годы в Баварии. Созданный по задумке Людвига I, зал является памятником выдающимся личностям германской истории, от Арминия до Коперника.;X;X;X;X;X;X
introduce_the_presbyteries_title;Ввести пресвитерианство;X;X;X;X;X;X
introduce_the_presbyteries_desc;В 1848 году, власти Королевства Ганновер решили укрепить народное представительство в Государственной Церкви Ганновера и ввели в неё институт пресвитерианства, и все церковные отныне поручаются всенародно избираемым пресвитерам.;X;X;X;X;X;X
build_gotthard_tunnel_title;Построить Готардский тоннель;X;X;X;X;X;X
build_gotthard_tunnel_desc;Готардский железнодорожный тоннель строился с 1871 по 1881 для того, чтобы соеденить города Гёшенен и Айроло. Первый тоннель, который был построен под горным массивом, Готардский тоннель был большим и значимым достижением своего времени.;X;X;X;X;X;X
the_lambert_charter_title;Договор Ламбера;X;X;X;X;X;X
the_lambert_charter_desc;Договор Ламбера - документ, используемый Францией с целью оправдать своё проникновение, а впоследствии и аннексию королевства Имерины. Документ был подписан наследным принцем Радамой II и якобы давал французам права вывозить с острова полезные ископаемые и прочие ресурсы, в обмен на 10% отчисление от стоимости ресурсов в пользу королевского дома Мадагаскара..;X;X;X;X;X;X
end_the_merina_monarchy_title;Конец имеринской монархии;X;X;X;X;X;X
end_the_merina_monarchy_desc;После местного восстания 1897, Франция, которая уже давно формально включила Мадагаскар в сферу влияния, окончательно аннексировала монархию Имерина и низложила местный королевский дом..;X;X;X;X;X;X
the_congo_conference_title;Принять Конференцию по Конго;X;X;X;X;X;X
the_congo_conference_desc;В 1884 году, в Берлине прошла международная «Конференция по Конго» или «Берлинская конференция», созванная по инициативе немецкого канцлера Бисмарка. Итогом конференции стал «Генеральный акт», который закреплял за великими державами их нынешние владения в Африке, а также подтверждал статус свободного государства Конго как личного владения бельгийских королей. Каким будет результат на этот раз? Примите конференцию по Конго и вращайте рулетку! Мы должны быть готовы к тому, что рассылка приглашений, принятие решения по участию в конференции, а также путь иностранных послов до нашей столицы займёт несколько месяцев..;X;X;X;X;X;X
unification_humiliate_cb_desc;Потребовать от другой великой державы признать ваше лидерство в данной культурной группе. Все страны в сфере влияния данной державы, принадлежащие к вашей культурной группе перейдут в вашу сферу влияния.;X;X;X;X;X;X
annex_the_congo_title;Аннексия Конго;X;X;X;X;X;X
annex_the_congo_desc;Многочисленные нарушения в колониальной политике в Конго привели к сильному международному давлению на $COUNTRY$. На Свободное Государство в личном владении нашего правителя обрушился шквал международной критики из-за черезчур жестокой колониальной критики. Возможно, было бы благоразумнее окончательно включить Свободное Государство в состав нашей страны.;X;X;X;X;X;X
the_congo_refrom_association_desc;Международная организация созданная с целью изменить ситуацию с правами человека в Конго к лучшему.;X;X;X;X;X;X
rename_the_congo_title;Исследование Конго!;X;X;X;X;X;X
rename_the_congo_desc;После того, как Конго было объявлено личной собственностью короля Леопольда II, было бы справедливо и логично провести экспедицию, с целью получше исследовать эту страну, не так ли?;X;X;X;X;X;X
brazzas_expedition_title;Экспедиция Браззы;X;X;X;X;X;X
brazzas_expedition_desc;Франко-итальянский исследователь и первопроходец Пьетро-Паоло Саворнан ди Бразза исследовал многие земли Центральной Африки, в частности, земли к западу от реки Конго и открыл сей регион для французской колонизации. В его честь названа столица Французского Конго, город Браззавиль.;X;X;X;X;X;X
von_moltkes_staff_reforms_title;Реформы фон Мольтке;X;X;X;X;X;X
